Nom,Code Postal,Ville,Activite principale,Site Web,Contact
DIFFUSION ACTIVE ,38000,GRENOBLE,Programmation informatique,,[]
SAJ ,38000,GRENOBLE,Programmation informatique,,[]
KIBATIC ,38100,GRENOBLE,Programmation informatique,,[]
ALTINEIGE ,38000,GRENOBLE,Programmation informatique,,[]
ECEDI ,38000,GRENOBLE,Programmation informatique,www.ecedi.fr,"['contact@ecedi.fr', 'mcvilcoq@mseven.fr', 'smorin@ecedi.frEcedi', 'smorin@ecedi.fr']"
ID NOVA ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.idfuse.fr,"['contact@idfuse.fr', 'contact@idnova.fr', 'sales@idfuse.fr']"
ACKTIL ,38100,GRENOBLE,Programmation informatique,,[]
VIVAXE INTERACTIVE ,38000,GRENOBLE,Programmation informatique,,[]
ASSOCIATION LAPOUDRE ,38100,GRENOBLE,Programmation informatique,,[]
ENIGMATIC ,38100,GRENOBLE,Programmation informatique,www.enigmaticparis.fr,['contact@enigmaticparis.fr']
FORCE COMMERCE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
NANOSPRINT NANOSPRINT,38000,GRENOBLE,Programmation informatique,,[]
GRENOUILLE ,38100,GRENOBLE,Programmation informatique,,[]
WEBU ,38000,GRENOBLE,Programmation informatique,www.webu.coop,"['contactsupport@webu.coop', 'contact@webu.coop', 'support@webu.coop']"
SILECS SILECS,38000,GRENOBLE,Programmation informatique,www.silecstv.com,['contact@silecstv.com']
ECOMMERCE ,38100,GRENOBLE,Programmation informatique,www.ecommercemag.fr,[]
A3CB ,38100,GRENOBLE,Programmation informatique,,[]
ACROMICRO ,38100,GRENOBLE,Programmation informatique,,[]
ART ART @T ,38000,GRENOBLE,Programmation informatique,www.art-t.be,"['contact@art-t.be', 'tarifcontact@art-t.be']"
ENERDATA ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.enerdata.fr,[]
SIGNAL25 INFORMATIQUE SIGNAL 25,38000,GRENOBLE,Programmation informatique,,[]
GN MULTIMEDIA NT 38,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
MEZCALITO ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.mezcalito.fr,"['contact@mezcalito.fr', 'contact@mezcalito.frRecherches']"
GD OPEN BUSINESS SOLUTIONS ,38000,GRENOBLE,Programmation informatique,www.gd-obs.com,['sebdoudou@team-richard.com']
SILLAGE ,38100,GRENOBLE,Programmation informatique,www.sillages.paysdegrasse.fr,['sillages@paysdegrasse.fr']
NOOVEO ,38000,GRENOBLE,Programmation informatique,www.nooveo.fr,[]
INTELLYSURF ,38000,GRENOBLE,Programmation informatique,,[]
SARL ELC ,38000,GRENOBLE,Programmation informatique,,[]
NETVISITE-HD ,38100,GRENOBLE,Programmation informatique,,[]
USHARESOFT ,38000,GRENOBLE,Programmation informatique,www.usharesoft.com,"['contact@usharesoft.com', 'Francefr.moonshotlabs.comcontact@moonshotlabs.com', 'contact@moonshotlabs.com']"
XILS AUDIO ,38100,GRENOBLE,Programmation informatique,www.xils-lab.com,[]
COM&NET ,38100,GRENOBLE,Programmation informatique,,[]
EEN-ETONICO ,38100,GRENOBLE,Programmation informatique,,[]
MAX BUSINESS ,38100,GRENOBLE,Programmation informatique,www.maxbusiness.fr,[]
PUZZLE-SYSTEM ,38000,GRENOBLE,Programmation informatique,www.puzzle-system.com,[]
OOKAPI ,38100,GRENOBLE,Programmation informatique,,[]
CALIENTE RAYMOND ,38100,GRENOBLE,Programmation informatique,,[]
FUTURE LEARNING STUDIO ,38000,GRENOBLE,Programmation informatique,,[]
VELOSSITY ,38000,GRENOBLE,Programmation informatique,www.velossity.fr,[]
LINK TO BUSINESS TECHNOLOGY ,38100,GRENOBLE,Programmation informatique,www.link-to-business.com,['ffb@link2b.fr']
QUALTERA ,38000,GRENOBLE,Programmation informatique,,[]
MVP ,38000,GRENOBLE,Programmation informatique,,[]
G WEB CREATION ,38000,GRENOBLE,Programmation informatique,"search?q=G-Design+Paris&ludocid=17233845031030996627&ibp=gwp;0,7&lsig=AB86z5XM6LgzH0GYV7Hvoqtfnbf3&phdesc=ETxum0HWH04&sa=X&ved=2ahUKEwin-qrojp7uAhUyzYUKHV06CLMQvS4wAXoECAoQBA",[]
WIZBII ,38000,GRENOBLE,Programmation informatique,www.wizbii.com,['contact@wizbii.com']
JS MEDIA PROD ,38000,GRENOBLE,Programmation informatique,www.jsmediaprod.com,[]
JS MEDIA PROD ,38000,GRENOBLE,Programmation informatique,www.jsmediaprod.com,[]
BASSETTI DIRECT ,38100,GRENOBLE,Programmation informatique,www.bassetti-direct.com,['bassetti.direct@bassetti-group.com']
L2C2 ,38000,GRENOBLE,Programmation informatique,www.l2c2.fr,[]
SHORTEDITION ,38000,GRENOBLE,Programmation informatique,,[]
VESTA-SYSTEM ,38000,GRENOBLE,Programmation informatique,www.vesta-system.fr,[]
HISTOIRES GEO ,38000,GRENOBLE,Programmation informatique,,[]
SLEEDE ,38000,GRENOBLE,Programmation informatique,www.sleede.com,"['contact@sleede.com', 'contact@sleede.Nos', 'contact@sleede.expert', 'contact@sleede.projet']"
LOGIXEN ,38100,GRENOBLE,Programmation informatique,,[]
Y'S SERVICES Y'S,38000,GRENOBLE,Programmation informatique,,[]
WEBIAPART ,38000,GRENOBLE,Programmation informatique,,[]
AKYLAS ,38000,GRENOBLE,Programmation informatique,www.akylas.net,['info@akylas.net']
VALADRI ,38000,GRENOBLE,Programmation informatique,,[]
IDRETIS ,38000,GRENOBLE,Programmation informatique,,[]
BUTTERFLYEFFECT ,38000,GRENOBLE,Programmation informatique,,[]
SQUARE CONNEXION ,38000,GRENOBLE,Programmation informatique,,[]
STIMERGY ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
SIXMARS DEVELOPPEMENT ,38000,GRENOBLE,Programmation informatique,,[]
REACTIV' IP ,38000,GRENOBLE,Programmation informatique,,[]
NEOVISION ,38000,GRENOBLE,Programmation informatique,,[]
DATAMINTE ,38000,GRENOBLE,Programmation informatique,,[]
LEAV SOLUTIONS ,38100,GRENOBLE,Programmation informatique,,[]
SYM2B SYM2B,38000,GRENOBLE,Programmation informatique,www.sym2b.com,"['contact@sym2b.fr', 'contact@Sym2B.fr']"
STUDIO CHAHUT ,38100,GRENOBLE,Programmation informatique,,[]
DATAMENTO ,38000,GRENOBLE,Programmation informatique,www.datamento.com,"['rania.zahra@datamento.com', 'info@lyonbiopole.com']"
DECODE CONSULTING ,38000,GRENOBLE,Programmation informatique,www.decoded.consulting,[]
ODYXA ,38000,GRENOBLE,Programmation informatique,,[]
POLYNODE ,38100,GRENOBLE,Programmation informatique,,[]
ALTAMENDI ,38000,GRENOBLE,Programmation informatique,,[]
PULSE ORIGIN ,38000,GRENOBLE,Programmation informatique,www.pulse-origin.com,['info@pulse-origin.com']
OPTALOG ,38100,GRENOBLE,Programmation informatique,www.optalog.com,['info@optalog.com']
KIFCORP ,38000,GRENOBLE,Programmation informatique,,[]
SAS SHARE CAURIS ,38000,GRENOBLE,Programmation informatique,,[]
COMMUNITY WEB ,38100,GRENOBLE,Programmation informatique,,[]
ACTIMEA ,38100,GRENOBLE,Programmation informatique,,[]
INVENTHYS ,38000,GRENOBLE,Programmation informatique,www.inventhys.com,"['contact@agence-himalaya.com', 'isabelle.excoffier@inventhys.com']"
P.M.VIAL ,38100,GRENOBLE,Programmation informatique,,[]
UPMEM ,38000,GRENOBLE,Programmation informatique,www.upmem.com,['hello@tvda.com']
LES PAPAS DU CODE ,38100,GRENOBLE,Programmation informatique,,[]
OZIRIS ,38000,GRENOBLE,Programmation informatique,,[]
PHARMANITY ,38000,GRENOBLE,Programmation informatique,www.pharmanity.com,['contact@pharmanity.com']
SINAO ,38100,GRENOBLE,Programmation informatique,www.sinao.fr,['contact@sinao.fr']
ELQUI ,38000,GRENOBLE,Programmation informatique,,[]
CENTREPRISE ,38000,GRENOBLE,Programmation informatique,,[]
LEESI MARKETING ,38100,GRENOBLE,Programmation informatique,,[]
RESPAWNSIVE ,38100,GRENOBLE,Programmation informatique,www.respawnsive.com,[]
CORNER CASE ,38000,GRENOBLE,Programmation informatique,,[]
WISE-OP ,38000,GRENOBLE,Programmation informatique,www.wise-op.com,['contact@wise-op.com']
ABHAYA ,38000,GRENOBLE,Programmation informatique,www.abhaya-shala.com,[]
BAON ,38000,GRENOBLE,Programmation informatique,www.baon-nutrition.com,['contact@baon-nutrition.com']
VORTAK ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.vortak.com,[]
BEELSE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.beelse.com,"['Contact@beelse.com', 'contact@beelse.com', 'yannick@beelse.com']"
MELILOG MLG,38100,GRENOBLE,Programmation informatique,,[]
ADOOVIZ ,38000,GRENOBLE,Programmation informatique,,[]
1001AUDIOS ,38100,GRENOBLE,Programmation informatique,www.1001audios.fr,[]
LUNACODE ,38000,GRENOBLE,Programmation informatique,,[]
PROSPECTIVA ,38100,GRENOBLE,Programmation informatique,www.prospectiva.io,"['contact@prospectiva.io', 'contact@prospectiva.ioD']"
88-IT.COM ,38000,GRENOBLE,Programmation informatique,,[]
BAG-ERA ,38000,GRENOBLE,Programmation informatique,,[]
SQUARESCALE ,38000,GRENOBLE,Programmation informatique,www.squarescale.com,['contact@squarescale.com']
IZIMAKERS ,38000,GRENOBLE,Programmation informatique,www.izimakers.com,"['hello@izimakers.com', 'jerome@izimakers.com']"
OWNWEB ,38100,GRENOBLE,Programmation informatique,www.ownweb.fr,"['hello@ownweb.fr', 'contact@ownweb.fr', 'OwnWebcontact@ownweb.fr']"
VEDALIS GROUPE BASSETTI ,38100,GRENOBLE,Programmation informatique,www.vedalis.com,[]
BASSETTI DATA PROVIDER ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.bassetti-data-provider.com,[]
EDIWEB & COM' ,38100,GRENOBLE,Programmation informatique,www.ediweb.ca-nmp.fr,[]
BRUYERE CONSULTING ,38100,GRENOBLE,Programmation informatique,,[]
COPROSPHERE ,38000,GRENOBLE,Programmation informatique,,[]
COOT SOLUTIONS SAS ,38000,GRENOBLE,Programmation informatique,,[]
LIMONIE ,38000,GRENOBLE,Programmation informatique,,[]
E-LOA LEARNING ,38000,GRENOBLE,Programmation informatique,,[]
INCEPTIVE ,38000,GRENOBLE,Programmation informatique,www.inceptive.tech,['contact@inceptive.tech']
VEERTUS ,38100,GRENOBLE,Programmation informatique,,[]
WEEBIT NANO FRANCE ,38000,GRENOBLE,Programmation informatique,www.weebit-nano.com,['info@weebit-nano.com']
WE ADVOCACY ,38000,GRENOBLE,Programmation informatique,www.weadvocacy.fr,"['contact@weadvocacy.fr', 'contact@weadvocacy.frMentions', 'contact@weadvocacy.com', 'contact@weadvocacy.frRecherches']"
IDAMN ,38100,GRENOBLE,Programmation informatique,,[]
JNJO ,38100,GRENOBLE,Programmation informatique,,[]
RANDOMLAB SAS ,38100,GRENOBLE,Programmation informatique,,[]
M57 ,38100,GRENOBLE,Programmation informatique,,[]
LINKYVET ,38000,GRENOBLE,Programmation informatique,www.linkyvet.com,"['contact@linkyvet.com', '04contact@linkyvet.com']"
MOTRHYS ,38000,GRENOBLE,Programmation informatique,www.motrhys.com,"['contact@motrhys.com', 'philippe.mattia@linksium.fr']"
AMIRAL TECHNOLOGIES ,38000,GRENOBLE,Programmation informatique,www.amiraltechnologies.com,"['contact@amiraltechnologies.com', 'katia.hilal@amiraltechnologies.Amiral']"
AGENCE TINTAMARRE ,38000,GRENOBLE,Programmation informatique,www.agencetintamarre.fr,[]
ONEANGSTROM ,38000,GRENOBLE,Programmation informatique,www.oneangstrom.com,['contact@samson-connect.net']
WELPCAR ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",,[]
YONET ,38000,GRENOBLE,Programmation informatique,,[]
INDLU ,38100,GRENOBLE,Programmation informatique,www.indlu.co.uk,"['info@indlu.co', 'enquiries@indlu.co']"
MOBITEACH ,38100,GRENOBLE,Programmation informatique,,[]
ANS INNOVATION ,38100,GRENOBLE,Programmation informatique,,[]
LOKKI ,38000,GRENOBLE,Programmation informatique,www.lokki-kombucha.fr,"['...hello@lokki-kombucha.fr', 'hello@lokki-kombucha.fr']"
CODEXTECH CDT,38100,GRENOBLE,Programmation informatique,,[]
BILL-IDEA ,38000,GRENOBLE,Programmation informatique,,[]
COMOTIC ,38100,GRENOBLE,Programmation informatique,,[]
ARIAZ ,38100,GRENOBLE,Programmation informatique,,[]
CHEZ TON OSTEO ,38100,GRENOBLE,Programmation informatique,www.cheztonosteo.fr,"['contact@chez-ton-osteo.fr', 'morgane.pignet@caen-osteo.fr']"
EFEMARY ,38000,GRENOBLE,Programmation informatique,,[]
LINKEYS FRANCE ,38100,GRENOBLE,Programmation informatique,www.linkeys.com,['contact@linkeys.com']
ANIAH ,38000,GRENOBLE,Programmation informatique,,[]
MAI ,38000,GRENOBLE,Programmation informatique,www.maifrance.com,"['info@maifrance.com', 'contactinfo@maifrance.com', 'reclamation@maifrance.com', 'faqinfo@maifrance.com']"
AMG CONNECT ,38000,GRENOBLE,Programmation informatique,,[]
WORMSENSING ,38000,GRENOBLE,Programmation informatique,www.wormsensing.com,"['contact@wormsensing.com', 'contact@wormsening.com']"
PIN & PLAN ,38100,GRENOBLE,Programmation informatique,www.pinterest.fr,[]
ALTERIA ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes",www.alteria-interim.com,[]
EDEN SHARK ES,38100,GRENOBLE,Programmation informatique,,[]
TWINSIGHT ,38000,GRENOBLE,Programmation informatique,,[]
KENTYOU ,38000,GRENOBLE,Programmation informatique,,[]
TWIN ROBOTICS ,38100,GRENOBLE,Programmation informatique,,[]
DEXYOS ,38000,GRENOBLE,Programmation informatique,www.dexyos.fr,"['serviceclient@majordome-prive.fr', 'info@geg.fr', 'contact@moonshotlabs.com']"
WEBSTEEM ,38000,GRENOBLE,Programmation informatique,,[]
MAIPLUG ,38000,GRENOBLE,Programmation informatique,,[]
CMG MIND ,38100,GRENOBLE,Programmation informatique,,[]
ANYA TECHNOLOGIES SAS ,38000,GRENOBLE,Programmation informatique,,[]
3 WORLD VISION CONCEPT ,38100,GRENOBLE,Programmation informatique,,[]
SENSEA FR ,38100,GRENOBLE,Programmation informatique,www.sensea.fr,['contact@insurly.fr']
LUDOCEO ,38000,GRENOBLE,Programmation informatique,,[]
NIDYANET ,38100,GRENOBLE,Programmation informatique,,[]
HELIOCITY ,38000,GRENOBLE,Programmation informatique,www.heliocity.io,"['contacts@heliocity.io', 'contact@heliocity.io', 'luc.oba@linksium.fr', 'emeric.eyraud@heliocity.io']"
CARETOCARE ,38000,GRENOBLE,Programmation informatique,www.caretocare.fr,"['info@caretocare.fr', 'info@caretocare.com', 'info-care@carefrance.org', 'communications@caretocare.com']"
MUSTANG AENGIE ,38000,GRENOBLE,Programmation informatique,,[]
